CrashName,PartyType,Age,Sobriety,AgeGroup,Sobriety_Code,PartyType_Code
CR-0000090598,Panel Truck,51,Had Not Been Drinking,46-60,1,9
CR-0000090599,Car,44,Had Not Been Drinking,31-45,1,3
CR-0000090601,Bus - Other,0,Impairment Not Known,<18,2,1
CR-0000090603,Car,0,Not Applicable,<18,0,3
CR-0000090605,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090606,Car,0,Not Applicable,<18,0,3
CR-0000090608,Emergency Vehicle,27,Had Not Been Drinking,18-30,1,6
CR-0000090589,Car,0,Impairment Not Known,<18,2,3
CR-0000090591,Car,0,Impairment Not Known,<18,2,3
CR-0000090593,Car,38,Had Not Been Drinking,31-45,1,3
CR-0000090594,Skateboard,18,Had Not Been Drinking,<18,1,14
CR-0000090596,Car,42,Had Not Been Drinking,31-45,1,3
CR-0000090598,Car,54,Had Not Been Drinking,46-60,1,3
CR-0000090600,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090602,Car,26,Had Not Been Drinking,18-30,1,3
CR-0000090603,Car,0,Not Applicable,<18,0,3
CR-0000090605,Car,31,Had Not Been Drinking,31-45,1,3
CR-0000090607,Car,0,Impairment Not Known,<18,2,3
CR-0000090609,Car,0,Impairment Not Known,<18,2,3
CR-0000090610,Car,0,Not Applicable,<18,0,3
CR-0000090610,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090612,Emergency Vehicle,34,Had Not Been Drinking,31-45,1,6
CR-0000090615,Car,41,Had Not Been Drinking,31-45,1,3
CR-0000090617,Car,23,Impairment Not Known,18-30,2,3
CR-0000090619,Car,52,Had Been Drinking - Under Influence,46-60,7,3
CR-0000090621,Pedestrian,18,Had Not Been Drinking,<18,1,10
CR-0000090623,Car,0,Impairment Not Known,<18,2,3
CR-0000090613,Car,0,Impairment Not Known,<18,2,3
CR-0000090614,Car,0,Impairment Not Known,<18,2,3
CR-0000090616,Car,64,Impairment Not Known,60+,2,3
CR-0000090618,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000090620,Car,0,Impairment Not Known,<18,2,3
CR-0000090622,Car,0,Impairment Not Known,<18,2,3
CR-0000090624,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090612,Car,82,Had Not Been Drinking,60+,1,3
CR-0000090616,Emergency Vehicle,36,Impairment Not Known,31-45,2,6
CR-0000090618,Panel Truck,44,Had Not Been Drinking,31-45,1,9
CR-0000090620,Panel Truck,50,Impairment Not Known,46-60,2,9
CR-0000090622,Car,32,Impairment Not Known,31-45,2,3
CR-0000090624,Car,43,Not Applicable,31-45,0,3
CR-0000090613,Car,33,Had Not Been Drinking,31-45,1,3
CR-0000090615,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090617,Car,78,Impairment Not Known,60+,2,3
CR-0000090618,Car,59,Had Not Been Drinking,46-60,1,3
CR-0000090621,Car,22,Had Not Been Drinking,18-30,1,3
CR-0000090623,Car,50,Impairment Not Known,46-60,2,3
CR-0000090625,Car,68,Impairment Not Known,60+,2,3
CR-0000090627,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090628,Car,31,Had Not Been Drinking,31-45,1,3
CR-0000090630,Car,44,Impairment Not Known,31-45,2,3
CR-0000090632,Car,0,Impairment Not Known,<18,2,3
CR-0000090634,Car,0,Impairment Not Known,<18,2,3
CR-0000090636,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090637,Car,0,Not Applicable,<18,0,3
CR-0000090639,Motorcycle/Moped,46,Had Not Been Drinking,46-60,1,8
CR-0000090641,Car,0,Not Applicable,<18,0,3
CR-0000090626,Car,54,Impairment Not Known,46-60,2,3
CR-0000090628,Car,0,Impairment Not Known,<18,2,3
CR-0000090629,Car,0,Not Applicable,<18,0,3
CR-0000090631,Car,0,Not Applicable,<18,0,3
CR-0000090633,Car,31,Impairment Not Known,31-45,2,3
CR-0000090635,Car,57,Had Not Been Drinking,46-60,1,3
CR-0000090637,Car,0,Impairment Not Known,<18,2,3
CR-0000090638,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000090641,Car,27,Had Not Been Drinking,18-30,1,3
CR-0000090625,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090627,Car,46,Impairment Not Known,46-60,2,3
CR-0000090629,Car With Trailer,0,Impairment Not Known,<18,2,4
CR-0000090631,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000090632,Car,32,Not Applicable,31-45,0,3
CR-0000090634,Car,0,Not Applicable,<18,0,3
CR-0000090636,Car,15,Had Not Been Drinking,<18,1,3
CR-0000090638,Car,32,Had Not Been Drinking,31-45,1,3
CR-0000090641,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090626,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090628,Car,30,Had Not Been Drinking,18-30,1,3
CR-0000090629,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090631,Car,0,Not Applicable,<18,0,3
CR-0000090633,Car,44,Impairment Not Known,31-45,2,3
CR-0000090635,Car,20,Had Not Been Drinking,18-30,1,3
CR-0000090637,Car,0,Not Applicable,<18,0,3
CR-0000090639,Car,34,Had Not Been Drinking,31-45,1,3
CR-0000090641,Car,0,Not Applicable,<18,0,3
CR-0000090642,Panel Truck,39,Had Not Been Drinking,31-45,1,9
CR-0000090644,Car,46,Had Not Been Drinking,46-60,1,3
CR-0000090646,Car,76,Had Not Been Drinking,60+,1,3
CR-0000090647,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090649,Car,50,Impairment Not Known,46-60,2,3
CR-0000090651,Car,30,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090653,Car,30,Had Not Been Drinking,18-30,1,3
CR-0000090654,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000090656,Car,0,Impairment Not Known,<18,2,3
CR-0000090658,Bicycle,58,Impairment Not Known,46-60,2,0
CR-0000090660,Bicycle,57,Had Not Been Drinking,46-60,1,0
CR-0000090662,Car,0,Impairment Not Known,<18,2,3
CR-0000090643,Panel Truck,49,Impairment Not Known,46-60,2,9
CR-0000090644,Panel Truck,68,Had Not Been Drinking,60+,1,9
CR-0000090646,Car,35,Had Not Been Drinking,31-45,1,3
CR-0000090647,Car,55,Had Not Been Drinking,46-60,1,3
CR-0000090649,Car,50,Had Not Been Drinking,46-60,1,3
CR-0000090651,Car,0,Not Applicable,<18,0,3
CR-0000090653,Car,50,Had Not Been Drinking,46-60,1,3
CR-0000090654,Car,45,Had Not Been Drinking,31-45,1,3
CR-0000090656,Car,48,Had Not Been Drinking,46-60,1,3
CR-0000090658,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090660,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090662,Car,27,Had Not Been Drinking,18-30,1,3
CR-0000090643,Car,22,Impairment Not Known,18-30,2,3
CR-0000090645,Car,49,Had Not Been Drinking,46-60,1,3
CR-0000090646,Car,35,Had Not Been Drinking,31-45,1,3
CR-0000090648,Car,31,Had Not Been Drinking,31-45,1,3
CR-0000090650,Car,40,Had Not Been Drinking,31-45,1,3
CR-0000090652,Panel Truck,29,Had Been Drinking - Under Influence,18-30,7,9
CR-0000090653,Car,26,Had Not Been Drinking,18-30,1,3
CR-0000090655,Car,64,Had Not Been Drinking,60+,1,3
CR-0000090657,Car,50,Impairment Not Known,46-60,2,3
CR-0000090659,Car,48,Impairment Not Known,46-60,2,3
CR-0000090661,Car,23,Had Not Been Drinking,18-30,1,3
CR-0000090663,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090642,Panel Truck,26,Had Not Been Drinking,18-30,1,9
CR-0000090644,Car,64,Had Not Been Drinking,60+,1,3
CR-0000090645,Pedestrian,35,Had Not Been Drinking,31-45,1,10
CR-0000090647,Car,46,Had Not Been Drinking,46-60,1,3
CR-0000090648,Car,26,Had Not Been Drinking,18-30,1,3
CR-0000090650,Panel Truck,29,Had Not Been Drinking,18-30,1,9
CR-0000090652,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090654,Car,29,Impairment Not Known,18-30,2,3
CR-0000090655,Car,52,Had Not Been Drinking,46-60,1,3
CR-0000090657,Car,31,Impairment Not Known,31-45,2,3
CR-0000090659,Car,42,Had Not Been Drinking,31-45,1,3
CR-0000090661,Pedestrian,36,Had Not Been Drinking,31-45,1,10
CR-0000090663,Car,21,Impairment Not Known,18-30,2,3
CR-0000090694,Car,39,Impairment Not Known,31-45,2,3
CR-0000090692,Panel Truck,23,Had Not Been Drinking,18-30,1,9
CR-0000090666,Car,33,Had Not Been Drinking,31-45,1,3
CR-0000090688,Car,68,Impairment Not Known,60+,2,3
CR-0000090706,Car,0,Impairment Not Known,<18,2,3
CR-0000090689,Car,59,Had Not Been Drinking,46-60,1,3
CR-0000090700,Car,27,Had Not Been Drinking,18-30,1,3
CR-0000090675,Car,28,Impairment Not Known,18-30,2,3
CR-0000090676,Panel Truck,52,Had Not Been Drinking,46-60,1,9
CR-0000090699,Car,47,Impairment Not Known,46-60,2,3
CR-0000090698,Bicycle,66,Had Not Been Drinking,60+,1,0
CR-0000090675,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090678,Car,43,Had Not Been Drinking,31-45,1,3
CR-0000090670,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090677,Car,53,Had Not Been Drinking,46-60,1,3
CR-0000090680,Car,37,Had Not Been Drinking,31-45,1,3
CR-0000090667,Car,25,Impairment Not Known,18-30,2,3
CR-0000090676,Pedestrian,28,Impairment Not Known,18-30,2,10
CR-0000090695,Car,60,Impairment Not Known,46-60,2,3
CR-0000090701,Car,20,Had Not Been Drinking,18-30,1,3
CR-0000090681,Car,41,Had Not Been Drinking,31-45,1,3
CR-0000090691,Car,78,Impairment Not Known,60+,2,3
CR-0000090699,Car,54,Impairment Not Known,46-60,2,3
CR-0000090690,Car,24,Impairment Not Known,18-30,2,3
CR-0000090680,Panel Truck,21,Had Not Been Drinking,18-30,1,9
CR-0000090705,Car,20,Impairment Not Known,18-30,2,3
CR-0000090678,Car,22,Had Not Been Drinking,18-30,1,3
CR-0000090674,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090697,Car,60,Impairment Not Known,46-60,2,3
CR-0000090685,Car,48,Impairment Not Known,46-60,2,3
CR-0000090682,Car,61,Impairment Not Known,60+,2,3
CR-0000090700,Panel Truck,57,Had Not Been Drinking,46-60,1,9
CR-0000090703,Car,22,Had Not Been Drinking,18-30,1,3
CR-0000090682,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090701,Car,73,Had Not Been Drinking,60+,1,3
CR-0000090671,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090683,Car,0,Impairment Not Known,<18,2,3
CR-0000090694,Car,0,Impairment Not Known,<18,2,3
CR-0000090673,Car,46,Impairment Not Known,46-60,2,3
CR-0000090664,Car,0,Impairment Not Known,<18,2,3
CR-0000090692,Bus - Other,43,Had Not Been Drinking,31-45,1,1
CR-0000090686,Car,23,Had Not Been Drinking,18-30,1,3
CR-0000090665,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090684,Panel Truck,44,Not Applicable,31-45,0,9
CR-0000090703,Pedestrian,38,Had Not Been Drinking,31-45,1,10
CR-0000090689,Car,62,Had Not Been Drinking,60+,1,3
CR-0000090668,Panel Truck,60,Had Not Been Drinking,46-60,1,9
CR-0000090687,Car,76,Had Not Been Drinking,60+,1,3
CR-0000090702,Car,0,Impairment Not Known,<18,2,3
CR-0000090674,Panel Truck,69,Not Applicable,60+,0,9
CR-0000090691,Motorcycle/Moped,12,Impairment Not Known,<18,2,8
CR-0000090694,Car,0,Not Applicable,<18,0,3
CR-0000090705,Car,0,Impairment Not Known,<18,2,3
CR-0000090706,Panel Truck,41,Impairment Not Known,31-45,2,9
CR-0000090679,Panel Truck,41,Had Not Been Drinking,31-45,1,9
CR-0000090687,Car,37,Had Not Been Drinking,31-45,1,3
CR-0000090665,Emergency Vehicle,0,Had Not Been Drinking,<18,1,6
CR-0000090685,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090690,Car,27,Impairment Not Known,18-30,2,3
CR-0000090697,Car,19,Impairment Not Known,18-30,2,3
CR-0000090677,Car,27,Impairment Not Known,18-30,2,3
CR-0000090679,Car,0,Impairment Not Known,<18,2,3
CR-0000090671,Car,45,Impairment Not Known,31-45,2,3
CR-0000090669,Car,49,Had Not Been Drinking,46-60,1,3
CR-0000090698,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090670,Car,0,Not Applicable,<18,0,3
CR-0000090684,Car,0,Impairment Not Known,<18,2,3
CR-0000090672,Car,18,Had Been Drinking - Under Influence,<18,7,3
CR-0000090668,Car,33,Had Not Been Drinking,31-45,1,3
CR-0000090696,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090689,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090692,Panel Truck,40,Had Not Been Drinking,31-45,1,9
CR-0000090683,Car,35,Impairment Not Known,31-45,2,3
CR-0000090688,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090704,Car,70,Had Not Been Drinking,60+,1,3
CR-0000090695,Panel Truck,35,Impairment Not Known,31-45,2,9
CR-0000090666,Emergency Vehicle,33,Had Not Been Drinking,31-45,1,6
CR-0000090702,Car,31,Had Been Drinking - Not Under Influence,31-45,5,3
CR-0000090672,Car,0,Not Applicable,<18,0,3
CR-0000090694,Car,55,Impairment Not Known,46-60,2,3
CR-0000090673,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090681,Car,0,Impairment Not Known,<18,2,3
CR-0000090669,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090696,Car,0,Not Applicable,<18,0,3
CR-0000090726,Car,29,Had Not Been Drinking,18-30,1,3
CR-0000090708,Car,44,Impairment Not Known,31-45,2,3
CR-0000090714,Car,62,Impairment Not Known,60+,2,3
CR-0000090720,Car,28,Had Not Been Drinking,18-30,1,3
CR-0000090715,Car,0,Not Applicable,<18,0,3
CR-0000090721,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090733,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090730,Motorcycle/Moped,35,Had Not Been Drinking,31-45,1,8
CR-0000090712,Scooter Non-Motorized,52,Impairment Not Known,46-60,2,12
CR-0000090715,Car,0,Not Applicable,<18,0,3
CR-0000090719,Car,25,Had Not Been Drinking,18-30,1,3
CR-0000090713,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090733,Car,25,Not Applicable,18-30,0,3
CR-0000090716,Car,22,Not Applicable,18-30,0,3
CR-0000090710,Panel Truck,58,Had Not Been Drinking,46-60,1,9
CR-0000090714,Motorcycle/Moped,33,Impairment Not Known,31-45,2,8
CR-0000090735,Car,21,Impairment Not Known,18-30,2,3
CR-0000090734,Car,52,Not Applicable,46-60,0,3
CR-0000090717,Car,28,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090716,Panel Truck,51,Not Applicable,46-60,0,9
CR-0000090724,Unknown,58,Impairment Not Known,46-60,2,18
CR-0000090731,Car,21,Not Applicable,18-30,0,3
CR-0000090732,Car With Trailer,30,Had Not Been Drinking,18-30,1,4
CR-0000090716,Panel Truck,27,Had Been Drinking - Under Influence,18-30,7,9
CR-0000090734,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090736,Car,33,Impairment Not Known,31-45,2,3
CR-0000090723,Car,0,Impairment Not Known,<18,2,3
CR-0000090727,Car,0,Not Applicable,<18,0,3
CR-0000090720,Car,36,Had Not Been Drinking,31-45,1,3
CR-0000090719,Car,0,Had Not Been Drinking,<18,1,3
CR-0000090725,Pedestrian,78,Impairment Not Known,60+,2,10
CR-0000090729,Car,44,Had Not Been Drinking,31-45,1,3
CR-0000090732,Car,19,Had Not Been Drinking,18-30,1,3
CR-0000090724,Car,25,Impairment Not Known,18-30,2,3
CR-0000090731,Car,24,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090707,Car,46,Had Not Been Drinking,46-60,1,3
CR-0000090721,Panel Truck,30,Had Not Been Drinking,18-30,1,9
CR-0000090736,Semi Truck,0,Impairment Not Known,<18,2,13
CR-0000090707,Car,0,Impairment Not Known,<18,2,3
CR-0000090709,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090718,Car,58,Had Not Been Drinking,46-60,1,3
CR-0000090711,Car,0,Not Applicable,<18,0,3
CR-0000090730,Car,0,Impairment Not Known,<18,2,3
CR-0000090729,Car,18,Had Not Been Drinking,<18,1,3
CR-0000090726,Car,51,Had Not Been Drinking,46-60,1,3
CR-0000090713,Car,0,Impairment Not Known,<18,2,3
CR-0000090722,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090722,Car,23,Not Applicable,18-30,0,3
CR-0000090725,Car,33,Impairment Not Known,31-45,2,3
CR-0000090715,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090712,Car,23,Had Not Been Drinking,18-30,1,3
CR-0000090723,Car,47,Impairment Not Known,46-60,2,3
CR-0000090711,Car,42,Impairment Not Known,31-45,2,3
CR-0000090728,Car,40,Had Not Been Drinking,31-45,1,3
CR-0000090727,Car,0,Not Applicable,<18,0,3
CR-0000090727,Car,28,Had Not Been Drinking,18-30,1,3
CR-0000090716,Car,20,Not Applicable,18-30,0,3
CR-0000090716,Car,34,Not Applicable,31-45,0,3
CR-0000090718,Car,39,Had Not Been Drinking,31-45,1,3
CR-0000090728,Car,35,Not Applicable,31-45,0,3
CR-0000090735,Car,0,Impairment Not Known,<18,2,3
CR-0000090711,Car,0,Impairment Not Known,<18,2,3
CR-0000090716,Car,0,Not Applicable,<18,0,3
CR-0000090716,Car,44,Not Applicable,31-45,0,3
CR-0000090710,Car,30,Had Not Been Drinking,18-30,1,3
CR-0000090746,Car,50,Had Not Been Drinking,46-60,1,3
CR-0000090761,Unknown,0,Impairment Not Known,<18,2,18
CR-0000090741,Panel Truck,0,Not Applicable,<18,0,9
CR-0000090753,Bus - Other,58,Had Not Been Drinking,46-60,1,1
CR-0000090751,Car,29,Had Been Drinking - Under Influence,18-30,7,3
CR-0000090747,Car,40,Had Not Been Drinking,31-45,1,3
CR-0000090748,Car,35,Had Not Been Drinking,31-45,1,3
CR-0000090748,Panel Truck,0,Impairment Not Known,<18,2,9
CR-0000090761,Car,0,Not Applicable,<18,0,3
CR-0000090743,Car,0,Impairment Not Known,<18,2,3
CR-0000090754,Car,23,Impairment Not Known,18-30,2,3
